courseID,teacherID,teacherName,commentsURL
93668,7445,Richard-Wang,https://www.applyweb.com/eval/new/showreport?c=93668&i=7445&t=181&r=9&d=true
90123,603,Timothy-Gagnon,https://www.applyweb.com/eval/new/showreport?c=90123&i=603&t=181&r=9&d=true
89967,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=89967&i=5654&t=181&r=9&d=true
89702,5654,Annie-Witte,https://www.applyweb.com/eval/new/showreport?c=89702&i=5654&t=181&r=9&d=true
92727,5918,Christopher-Miller,https://www.applyweb.com/eval/new/showreport?c=92727&i=5918&t=181&r=9&d=true
91603,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=91603&i=1844&t=181&r=9&d=true
89965,1844,William-Goldman,https://www.applyweb.com/eval/new/showreport?c=89965&i=1844&t=181&r=9&d=true
89786,4497,Kamber-Vittori,https://www.applyweb.com/eval/new/showreport?c=89786&i=4497&t=181&r=9&d=true
89966,673,Laurance-Ginsberg,https://www.applyweb.com/eval/new/showreport?c=89966&i=673&t=181&r=9&d=true
89964,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=89964&i=454&t=181&r=9&d=true
90028,454,Peggy-O'Kelly,https://www.applyweb.com/eval/new/showreport?c=90028&i=454&t=181&r=9&d=true
90623,784,Christina-Williams,https://www.applyweb.com/eval/new/showreport?c=90623&i=784&t=181&r=9&d=true
90104,537,H-Sherman,https://www.applyweb.com/eval/new/showreport?c=90104&i=537&t=181&r=9&d=true
92825,6647,Caleb-Gayle,https://www.applyweb.com/eval/new/showreport?c=92825&i=6647&t=181&r=9&d=true
91906,6521,Natalie-Shibley,https://www.applyweb.com/eval/new/showreport?c=91906&i=6521&t=181&r=9&d=true
91740,4231,Matthew-Lee,https://www.applyweb.com/eval/new/showreport?c=91740&i=4231&t=181&r=9&d=true
92826,110,Carla-Kaplan,https://www.applyweb.com/eval/new/showreport?c=92826&i=110&t=181&r=9&d=true
93748,7556,Kris-Manjapra,https://www.applyweb.com/eval/new/showreport?c=93748&i=7556&t=181&r=9&d=true
92827,6864,Annakay-Wright,https://www.applyweb.com/eval/new/showreport?c=92827&i=6864&t=181&r=9&d=true
90839,81,Richard-Wamai,https://www.applyweb.com/eval/new/showreport?c=90839&i=81&t=181&r=9&d=true
93506,5269,John-Olawepo,https://www.applyweb.com/eval/new/showreport?c=93506&i=5269&t=181&r=9&d=true
93507,7579,Tamara-Jimah,https://www.applyweb.com/eval/new/showreport?c=93507&i=7579&t=181&r=9&d=true
93240,4694,Nicole-Castor,https://www.applyweb.com/eval/new/showreport?c=93240&i=4694&t=181&r=9&d=true
91587,7174,Keith-Grant,https://www.applyweb.com/eval/new/showreport?c=91587&i=7174&t=181&r=9&d=true
89664,5719,Krishna-Madaparthi,https://www.applyweb.com/eval/new/showreport?c=89664&i=5719&t=181&r=9&d=true
92208,793,Alma-Bournazian,https://www.applyweb.com/eval/new/showreport?c=92208&i=793&t=181&r=9&d=true
89663,5882,Rachel-Berman-Kobylarz,https://www.applyweb.com/eval/new/showreport?c=89663&i=5882&t=181&r=9&d=true
91089,793,Alma-Bournazian,https://www.applyweb.com/eval/new/showreport?c=91089&i=793&t=181&r=9&d=true
89662,5882,Rachel-Berman-Kobylarz,https://www.applyweb.com/eval/new/showreport?c=89662&i=5882&t=181&r=9&d=true
89631,793,Alma-Bournazian,https://www.applyweb.com/eval/new/showreport?c=89631&i=793&t=181&r=9&d=true
91596,2079,Liza-Weinstein,https://www.applyweb.com/eval/new/showreport?c=91596&i=2079&t=181&r=9&d=true
89844,79,Carie-Hersh,https://www.applyweb.com/eval/new/showreport?c=89844&i=79&t=181&r=9&d=true
92112,3765,Claudia-Santelices,https://www.applyweb.com/eval/new/showreport?c=92112&i=3765&t=181&r=9&d=true
92632,6578,Vince-Montes,https://www.applyweb.com/eval/new/showreport?c=92632&i=6578&t=181&r=9&d=true
90364,4515,Benjamin-Levy,https://www.applyweb.com/eval/new/showreport?c=90364&i=4515&t=181&r=9&d=true
92633,6577,Matthew-Rudolph,https://www.applyweb.com/eval/new/showreport?c=92633&i=6577&t=181&r=9&d=true
93119,79,Carie-Hersh,https://www.applyweb.com/eval/new/showreport?c=93119&i=79&t=181&r=9&d=true
93120,6623,Leah-Horgan,https://www.applyweb.com/eval/new/showreport?c=93120&i=6623&t=181&r=9&d=true
93203,6671,Layla-Brown,https://www.applyweb.com/eval/new/showreport?c=93203&i=6671&t=181&r=9&d=true
93121,7311,Jelena-Golubovic,https://www.applyweb.com/eval/new/showreport?c=93121&i=7311&t=181&r=9&d=true
93122,7229,Sasha-Sabherwal,https://www.applyweb.com/eval/new/showreport?c=93122&i=7229&t=181&r=9&d=true
93123,6393,Sarah-Riccardi-Swartz,https://www.applyweb.com/eval/new/showreport?c=93123&i=6393&t=181&r=9&d=true
93485,7229,Sasha-Sabherwal,https://www.applyweb.com/eval/new/showreport?c=93485&i=7229&t=181&r=9&d=true
89683,16,Shakir-Mustafa,https://www.applyweb.com/eval/new/showreport?c=89683&i=16&t=181&r=9&d=true
93247,16,Shakir-Mustafa,https://www.applyweb.com/eval/new/showreport?c=93247&i=16&t=181&r=9&d=true
89682,16,Shakir-Mustafa,https://www.applyweb.com/eval/new/showreport?c=89682&i=16&t=181&r=9&d=true
93475,3402,Mary-Hale,https://www.applyweb.com/eval/new/showreport?c=93475&i=3402&t=181&r=9&d=true
91102,3402,Mary-Hale,https://www.applyweb.com/eval/new/showreport?c=91102&i=3402&t=181&r=9&d=true
89949,3402,Mary-Hale,https://www.applyweb.com/eval/new/showreport?c=89949&i=3402&t=181&r=9&d=true
89948,5452,Ryan-Gagnebin,https://www.applyweb.com/eval/new/showreport?c=89948&i=5452&t=181&r=9&d=true
89947,7418,Layal-Merhi,https://www.applyweb.com/eval/new/showreport?c=89947&i=7418&t=181&r=9&d=true
